6D,ADC,AB
7D,ADC,AX
79,ADC,AY
69,ADC,IM
61,ADC,IX
71,ADC,IY
65,ADC,ZP
75,ADC,ZX
2D,AND,AB
3D,AND,AX
39,AND,AY
29,AND,IM
21,AND,IX
31,AND,IY
25,AND,ZP
35,AND,ZX
0E,ASL,AB
1E,ASL,AX
0A,ASL,#
06,ASL,ZP
16,ASL,ZX
90,BCC,@
B0,BCS,@
F0,BEQ,@
2C,BIT,AB
24,BIT,ZP
30,BMI,@
D0,BNE,@
10,BPL,@
00,BRK,#
50,BVC,@
70,BVS,@
18,CLC,#
D8,CLD,#
58,CLI,#
B8,CLV,#
CD,CMP,AB
DD,CMP,AX
D9,CMP,AY
C9,CMP,IM
C1,CMP,IX
D1,CMP,IY
C5,CMP,ZP
D5,CMP,ZX
EC,CPX,AB
E0,CPX,IM
E4,CPX,ZP
CC,CPY,AB
C0,CPY,IM
C4,CPY,ZP
CE,DEC,AB
DE,DEC,AX
C6,DEC,ZP
D6,DEC,ZX
CA,DEX,#
88,DEY,#
4D,EOR,AB
5D,EOR,AX
59,EOR,AY
49,EOR,IM
41,EOR,IX
51,EOR,IY
45,EOR,ZP
55,EOR,ZX
EE,INC,AB
FE,INC,AX
E6,INC,ZP
F6,INC,ZX
E8,INX,#
C8,INY,#
4C,JMP,AB
6C,JMP,IN
20,JSR,AB
AD,LDA,AB
BD,LDA,AX
B9,LDA,AY
A9,LDA,IM
A5,LDA,ZP
A1,LDA,IX
B1,LDA,IY
B5,LDA,ZX
AE,LDX,AB
BE,LDX,AY
A2,LDX,IM
A6,LDX,ZP
B6,LDX,ZY
AC,LDY,AB
BC,LDY,AX
A0,LDY,IM
A4,LDY,ZP
B4,LDY,ZX
4E,LSR,AB
5E,LSR,AX
4A,LSR,A
46,LSR,ZP
56,LSR,ZX
EA,NOP,#
0D,ORA,AB
1D,ORA,AX
19,ORA,AY
09,ORA,IM
01,ORA,IX
11,ORA,IY
05,ORA,ZP
15,ORA,ZX
48,PHA,#
08,PHP,#
68,PLA,#
28,PLP,#
03,RESET,-
2E,ROL,AB
3E,ROL,AX
2A,ROL,A
26,ROL,ZP
36,ROL,ZX
6E,ROR,AB
7E,ROR,AX
6A,ROR,A
66,ROR,ZP
76,ROR,ZX
40,RTI,#
60,RTS,#
ED,SBC,AB
FD,SBC,A
F9,SBC,AY
E9,SBC,IM
E1,SBC,IX
F1,SBC,IY
E5,SBC,ZP
F5,SBC,ZX
38,SEC,#
F8,SED,#
78,SEI,#
8D,STA,AB
99,STA,AY
81,STA,IX
91,STA,IY
85,STA,ZP
95,STA,ZX
9D,STA ,AX
43,S_IRQ,-
33,S_NMI,-
8E,STX,AB
86,STX,ZP
96,STX,ZY
8C,STY,AB
84,STY,ZP
94,STY,ZX
AA,TAX,#
A8,TAY,#
BA,TSX,#
8A,TXA,#
9A,TXS,#
98,TYA,#
